sub_trial,time,a,z,a_t,z_t,sniff,hand,hand_t
sub11_3,14:57:29.382,a8,z1,2.850,6.573,0,0,0.000
sub11_3,14:57:29.385,a8,z1,2.850,37.870,0,0,0.000
sub11_3,14:57:30.119,a8,z1,2.850,37.870,1,0,0.000
sub11_3,14:57:32.088,a8,z1,2.850,37.870,1,0,0.000
sub11_3,14:57:32.232,a9,z1,1.457,37.870,0,0,0.000
sub11_3,14:57:33.689,a10,z1,3.356,37.870,0,0,0.000
sub11_3,14:57:35.758,a10,z1,3.356,37.870,1,0,0.000
sub11_3,14:57:37.046,a11,z1,1.820,37.870,0,0,0.000
sub11_3,14:57:37.660,a11,z1,1.820,37.870,1,0,0.000
sub11_3,14:57:38.866,a12,z1,1.236,37.870,0,0,0.000
sub11_3,14:57:39.128,a12,z1,1.236,37.870,1,0,0.000
sub11_3,14:57:40.102,a11,z1,0.961,37.870,0,0,0.000
sub11_3,14:57:41.063,a10,z1,1.034,37.870,0,0,0.000
sub11_3,14:57:41.330,a10,z1,1.034,37.870,1,0,0.000
sub11_3,14:57:42.098,a9,z1,1.468,37.870,0,0,0.000
sub11_3,14:57:42.732,a9,z1,1.468,37.870,1,0,0.000
sub11_3,14:57:43.566,a8,z1,1.735,37.870,0,0,0.000
sub11_3,14:57:44.333,a8,z1,1.735,37.870,1,0,0.000
sub11_3,14:57:45.301,a7,z1,2.169,37.870,0,0,0.000
sub11_3,14:57:46.168,a7,z1,2.169,37.870,1,0,0.000
sub11_3,14:57:47.469,a6,z1,2.202,37.870,0,0,0.000
sub11_3,14:57:48.037,a6,z1,2.202,37.870,1,0,0.000
sub11_3,14:57:49.672,a5,z1,1.301,37.870,0,0,0.000
sub11_3,14:57:49.939,a5,z1,1.301,37.870,1,0,0.000
sub11_3,14:57:50.973,a4,z1,2.202,37.870,0,0,0.000
sub11_3,14:57:52.408,a4,z1,2.202,37.870,1,0,0.000
sub11_3,14:57:53.175,a3,z1,3.437,37.870,0,0,0.000
sub11_3,14:57:55.310,a3,z1,3.437,37.870,1,0,0.000
sub11_3,14:57:56.612,a2,z1,1.635,37.870,0,0,0.000
sub11_3,14:57:57.246,a2,z1,1.635,37.870,1,0,0.000
sub11_3,14:57:58.247,a1,z1,1.568,37.870,0,0,0.000
sub11_3,14:57:59.148,a1,z1,1.568,37.870,1,0,0.000
sub11_3,14:57:59.815,a2,z1,1.068,37.870,0,0,0.000
sub11_3,14:58:00.883,a3,z1,0.367,37.870,0,0,0.000
sub11_3,14:58:01.250,a4,z1,1.401,37.870,0,0,0.000
sub11_3,14:58:02.651,a5,z1,1.301,37.870,0,0,0.000
sub11_3,14:58:03.552,a5,z1,1.301,37.870,1,0,0.000
sub11_3,14:58:03.952,a6,z1,1.602,37.870,0,0,0.000
sub11_3,14:58:04.620,a6,z1,1.602,37.870,1,0,0.000
sub11_3,14:58:05.554,a5,z1,1.602,37.870,0,0,0.000
sub11_3,14:58:06.622,a5,z1,1.602,37.870,1,0,0.000
sub11_3,14:58:07.155,a6,z1,0.100,37.870,0,0,0.000
sub11_3,14:58:07.255,a0,z1,11.244,37.870,0,0,0.000
sub11_3,14:58:07.255,a0,z0,11.244,11.211,0,0,0.000
sub11_3,14:58:18.466,a0,z2,11.244,31.531,0,0,0.000
sub11_3,14:58:18.500,a5,z2,3.971,31.531,0,0,0.000
sub11_3,14:58:20.235,a5,z2,3.971,31.531,1,0,0.000
sub11_3,14:58:21.937,a5,z2,3.971,31.531,1,0,0.000
sub11_3,14:58:22.470,a4,z2,3.070,31.531,0,0,0.000
sub11_3,14:58:23.471,a4,z2,3.070,31.531,1,0,0.000
sub11_3,14:58:24.506,a4,z2,3.070,31.531,0,1,25.486
sub11_3,14:58:25.507,a4,z2,3.070,31.531,1,1,25.486
sub11_3,14:58:25.540,a5,z2,1.435,31.531,0,1,25.486
sub11_3,14:58:26.574,a5,z2,1.435,31.531,1,1,25.486
sub11_3,14:58:26.975,a4,z2,0.968,31.531,0,1,25.486
sub11_3,14:58:27.942,a3,z2,1.768,31.531,0,1,25.486
sub11_3,14:58:28.443,a3,z2,1.768,31.531,1,1,25.486
sub11_3,14:58:29.711,a2,z2,1.501,31.531,0,1,25.486
sub11_3,14:58:30.345,a2,z2,1.501,31.531,1,1,25.486
sub11_3,14:58:31.212,a1,z2,1.902,31.531,0,1,25.486
sub11_3,14:58:32.313,a1,z2,1.902,31.531,1,1,25.486
sub11_3,14:58:33.114,a2,z2,0.133,31.531,0,1,25.486
sub11_3,14:58:33.248,a3,z2,0.334,31.531,0,1,25.486
sub11_3,14:58:33.581,a4,z2,0.500,31.531,0,1,25.486
sub11_3,14:58:34.082,a5,z2,0.367,31.531,0,1,25.486
sub11_3,14:58:34.315,a5,z2,0.367,31.531,1,1,25.486
sub11_3,14:58:34.449,a6,z2,0.367,31.531,0,1,25.486
sub11_3,14:58:34.816,a7,z2,0.367,31.531,0,1,25.486
sub11_3,14:58:35.183,a8,z2,0.367,31.531,0,1,25.486
sub11_3,14:58:35.550,a9,z2,0.367,31.531,0,1,25.486
sub11_3,14:58:35.917,a10,z2,0.723,31.531,0,1,25.486
sub11_3,14:58:36.640,a11,z2,1.353,31.531,0,1,25.486
sub11_3,14:58:37.752,a11,z2,1.353,31.531,1,1,25.486
sub11_3,14:58:37.993,a12,z2,1.283,31.531,0,1,25.486
sub11_3,14:58:39.276,a11,z2,1.312,31.531,0,1,25.486
sub11_3,14:58:39.721,a11,z2,1.312,31.531,1,1,25.486
sub11_3,14:58:40.588,a10,z2,1.768,31.531,0,1,25.486
sub11_3,14:58:41.222,a10,z2,1.768,31.531,1,1,25.486
sub11_3,14:58:42.357,a9,z2,1.735,31.531,0,1,25.486
sub11_3,14:58:43.024,a9,z2,1.735,31.531,1,1,25.486
sub11_3,14:58:44.092,a8,z2,1.134,31.531,0,1,25.486
sub11_3,14:58:44.625,a8,z2,1.134,31.531,1,1,25.486
sub11_3,14:58:45.226,a7,z2,1.902,31.531,0,1,25.486
sub11_3,14:58:46.127,a7,z2,1.902,31.531,1,1,25.486
sub11_3,14:58:47.128,a6,z2,1.969,31.531,0,1,25.486
sub11_3,14:58:47.595,a6,z2,1.969,31.531,1,1,25.486
sub11_3,14:58:49.096,a5,z2,0.901,31.531,0,1,25.486
sub11_3,14:58:49.263,a5,z2,0.901,31.531,1,1,25.486
sub11_3,14:58:49.997,a0,z2,8.515,31.531,0,0,0.000
sub11_3,14:58:49.997,a0,z0,8.515,8.508,0,0,0.000
sub11_3,14:58:58.506,a0,z3,8.515,35.868,0,0,0.000
sub11_3,14:58:58.512,a5,z3,2.897,35.868,0,0,0.000
sub11_3,14:59:00.141,a5,z3,2.897,35.868,1,0,0.000
sub11_3,14:59:01.175,a5,z3,2.897,35.868,0,1,0.000
sub11_3,14:59:01.409,a6,z3,2.336,35.868,0,0,0.000
sub11_3,14:59:01.976,a6,z3,2.336,35.868,1,0,0.000
sub11_3,14:59:03.744,a7,z3,1.835,35.868,0,0,0.000
sub11_3,14:59:04.745,a7,z3,1.835,35.868,1,0,0.000
sub11_3,14:59:05.579,a8,z3,2.102,35.868,0,0,0.000
sub11_3,14:59:06.647,a8,z3,2.102,35.868,1,0,0.000
sub11_3,14:59:07.681,a9,z3,1.702,35.868,0,0,0.000
sub11_3,14:59:08.482,a9,z3,1.702,35.868,1,0,0.000
sub11_3,14:59:09.383,a10,z3,2.563,35.868,0,0,0.000
sub11_3,14:59:10.417,a10,z3,2.563,35.868,1,0,0.000
sub11_3,14:59:11.946,a11,z3,1.369,35.868,0,0,0.000
sub11_3,14:59:12.019,a11,z3,1.369,35.868,1,0,0.000
sub11_3,14:59:13.315,a12,z3,1.182,35.868,0,0,0.000
sub11_3,14:59:13.520,a12,z3,1.182,35.868,1,0,0.000
sub11_3,14:59:14.497,a11,z3,0.358,35.868,0,0,0.000
sub11_3,14:59:14.855,a10,z3,0.200,35.868,0,0,0.000
sub11_3,14:59:15.055,a8,z3,0.133,35.868,0,0,0.000
sub11_3,14:59:15.189,a9,z3,0.400,35.868,0,0,0.000
sub11_3,14:59:15.589,a7,z3,0.200,35.868,0,0,0.000
sub11_3,14:59:15.789,a6,z3,0.200,35.868,0,0,0.000
sub11_3,14:59:15.989,a5,z3,0.267,35.868,0,0,0.000
sub11_3,14:59:16.256,a4,z3,0.300,35.868,0,0,0.000
sub11_3,14:59:16.557,a3,z3,0.367,35.868,0,0,0.000
sub11_3,14:59:16.924,a2,z3,0.534,35.868,0,0,0.000
sub11_3,14:59:17.458,a1,z3,0.934,35.868,0,0,0.000
sub11_3,14:59:17.858,a1,z3,0.934,35.868,1,0,0.000
sub11_3,14:59:18.392,a2,z3,1.702,35.868,0,0,0.000
